,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,13642.843999999886,29895.98100000001,43538.8249999999,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,7735.026999999969,4355.490000000068,12090.517000000036,120.0
3,logit_computation,705.7229999999769,9496.831000000038,10202.554000000016,120.0
4,nomralization,2811.453999999995,908.9119999999804,3720.365999999976,250.0
5,arithmetic,2134.8629999999644,10910.945000000067,13045.808000000028,410.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,331.28999999999473,112.73700000000784,444.02700000000254,20.0
9,memory,25296.527999999988,11643.955000000027,36940.48300000002,3160.0
10,roi,0.0,0.0,0.0,0.0
11,other,113.54899999995658,58.3679999999909,171.91699999994748,500.0
