,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,975587.111,564452.6890000056,1540039.8000000056,10.0
2,aten::arange,20524.447999999968,2119.96199999943,22644.4099999994,2580.0
3,aten::unsqueeze,6929.833000001253,0.0,6929.833000001253,3890.0
4,aten::view,1041.1469999989415,0.0,1041.1469999989415,1310.0
5,aten::embedding,235.6589999999832,98.7220000001511,334.38100000013435,10.0
6,aten::expand,3789.0429999995977,0.0,3789.0429999995977,1290.0
7,aten::reshape,6384.627000000781,4318.099999999119,10702.7269999999,1000.0
8,aten::cat,8937.190000000892,6404.00199999978,15341.192000000672,1140.0
9,aten::eq,2237.541999999363,346.1789999999307,2583.7209999992933,340.0
10,aten::any,175.901999999793,39.64799999994938,215.5499999997424,20.0
11,aten::is_nonzero,162.28900000009196,7.679999999886718,169.96899999997868,10.0
12,aten::item,68.58999999998582,7.680999999884079,76.2709999998699,10.0
13,hymbarmsnorm_prof,158020.04400000148,65473.52300000202,223493.5670000035,2250.0
14,aten::linear,44837.20099999996,239905.08800000168,284742.2890000016,2250.0
15,aten::transpose,4635.170999999285,0.0,4635.170999999285,4520.0
16,aten::tensor_split,2357.837999999114,0.0,2357.837999999114,640.0
17,causalconv1dfn,5544.912000000197,2852.0929999992622,8397.004999999459,320.0
18,aten::contiguous,17647.365000000376,5725.387000000238,23372.75200000061,1920.0
19,aten::slice,10786.679000000024,0.0,10786.679000000024,6480.0
20,aten::to,35501.924000001665,9480.675000000134,44982.5990000018,7370.0
21,aten::matmul,6082.58999999819,404.3849999999624,6486.974999998152,320.0
22,aten::cos,2165.261000000537,406.30900000082784,2571.570000001365,320.0
23,aten::sin,1714.307999999172,407.36300000012136,2121.670999999293,320.0
24,aten::mul,6926.89700000086,6251.766999997582,13178.663999998444,1300.0
25,aten::neg,4486.465000001871,1593.777000000804,6080.242000002675,810.0
26,aten::add,7568.553000000912,21844.551000000323,29413.10400000124,1450.0
27,aten::new_zeros,15721.478999999004,771.7799999994152,16493.25899999842,960.0
28,aten::ge,9415.572000001088,2365.9539999995045,11781.526000000593,640.0
29,aten::__or__,9936.381999999929,2018.7839999998475,11955.165999999774,640.0
30,aten::new_ones,7253.702999999712,479.13900000127865,7732.842000000991,610.0
31,aten::__and__,21015.464999998865,4569.20399999951,25584.668999998376,1540.0
32,aten::lt,11113.010000001384,1489.595000001293,12602.605000002675,1280.0
33,aten::permute,585.8439999995048,0.0,585.8439999995048,320.0
34,aten::sum,25207.4530000008,8257.452999997251,33464.90599999805,1600.0
35,aten::gt,1930.738000002075,325.0879999997601,2255.8260000018354,320.0
36,aten::argsort,39514.219999998895,9604.65300000214,49118.87300000104,1280.0
37,aten::where,14730.060999999096,1359.7840000000128,16089.84499999911,640.0
38,aten::lift_fresh,1234.5219999996675,0.0,1234.5219999996675,640.0
39,aten::index_put_,79338.00000000144,3788.337000004879,83126.33700000632,640.0
40,torchdynamo cache lookup,12628.556000000252,0.0,12628.556000000252,640.0
41,torch-compiled region,29190.34099999942,51620.21700000035,80810.55799999977,640.0
42,aten::split_with_sizes,915.7409999991428,0.0,915.7409999991428,320.0
43,aten::exp,2081.294999999101,541.128000000253,2622.422999999354,320.0
44,selectivescanfn,29106.30999999994,102438.54499999915,131544.8549999991,320.0
45,aten::div,1816.862000000668,1382.737000000357,3199.599000001025,320.0
46,aten::empty,260.7829999994874,0.0,260.7829999994874,320.0
47,aten::silu,1992.1640000003756,2372.318999998904,4364.482999999279,320.0
48,aten::ones,2694.0809999991084,255.97100000027376,2950.051999999382,320.0
49,aten::sub,6283.453999999705,1936.304000000512,8219.758000000216,290.0
50,aten::le,3535.4090000005126,1188.8049999998066,4724.214000000319,290.0
51,cudadevicesynchronize,14323.297999999952,0.0,14323.297999999952,10.0
0,GEMM,50919.79099999815,240309.47300000163,291229.2639999998,
0,NonGEMM,600691.910000005,218852.5780000055,819544.4880000106,
0,SSM_Scan,34651.22200000014,105290.63799999842,139941.85999999856,
