,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,50919.79099999815,240309.47300000163,291229.2639999998,
1,SSM_Scan,34651.22200000014,105290.63799999842,139941.85999999856,
2,activation,1992.164000000376,2372.318999998904,4364.482999999279,320.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,158020.04400000148,65473.52300000202,223493.5670000035,2250.0
5,arithmetic,117772.85700000674,54972.32599999751,172745.18300000427,11810.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,235.6589999999832,98.7220000001511,334.38100000013435,10.0
9,memory,240103.54699999836,34710.818000004445,274814.3650000028,36280.0
10,roi,0.0,0.0,0.0,0.0
11,other,82567.63899999823,61224.87000000249,143792.50900000072,3200.0
