,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::arange,19734.800000001575,2180.289000001978,21915.08900000356,2580.0
3,aten::unsqueeze,7144.932000001134,0.0,7144.932000001134,3890.0
4,aten::view,1005.2380000009714,0.0,1005.2380000009714,1310.0
5,aten::embedding,196.77399999992437,172.73699999990106,369.5109999998254,10.0
6,aten::expand,3640.420000001736,0.0,3640.420000001736,1290.0
7,aten::reshape,6344.658999999252,7543.730000001388,13888.38900000064,1000.0
8,aten::cat,9139.397999997142,9675.556999998058,18814.9549999952,1140.0
9,aten::eq,2232.242999999592,423.2140000037184,2655.4570000033104,340.0
10,aten::any,169.2169999999348,44.41699999990195,213.63399999983676,20.0
11,aten::is_nonzero,166.10499999987474,9.086999999933424,175.19199999980816,10.0
12,aten::item,70.72900000038857,7.774999999983265,78.50400000037183,10.0
13,hymbarmsnorm_prof,157836.00000000183,112671.30800000326,270507.3080000051,2250.0
15,aten::transpose,4844.025999999855,0.0,4844.025999999855,4520.0
16,aten::tensor_split,2299.523999999378,0.0,2299.523999999378,640.0
18,aten::contiguous,17974.147999999994,10851.057000001165,28825.20500000116,1920.0
19,aten::slice,10464.62200000226,0.0,10464.62200000226,6480.0
20,aten::to,34495.44300000726,12510.749000000722,47006.192000007984,7370.0
22,aten::cos,1960.585000001813,425.40099999884126,2385.9860000006543,320.0
23,aten::sin,1685.0630000004137,425.6690000010831,2110.7320000014965,320.0
24,aten::mul,6688.604999997942,19252.297999997216,25940.90299999516,1300.0
25,aten::neg,4591.577999999789,1919.6410000002843,6511.219000000074,810.0
26,aten::add,7351.785999996871,40098.9259999968,47450.71199999367,1450.0
27,aten::new_zeros,15764.485000001896,790.1929999986932,16554.67800000059,960.0
28,aten::ge,9818.946999998036,5712.706000001269,15531.652999999304,640.0
29,aten::__or__,9843.274000000283,4665.618999999126,14508.89299999941,640.0
30,aten::new_ones,7223.937000000284,479.0740000007144,7703.011000000998,610.0
31,aten::__and__,20660.1500000005,10084.52299999864,30744.67299999914,1540.0
32,aten::lt,10842.399999999694,1704.8449999986174,12547.244999998313,1280.0
33,aten::permute,587.8230000004914,0.0,587.8230000004914,320.0
34,aten::sum,25074.492999999893,16565.004999997473,41639.497999997366,1600.0
35,aten::gt,1679.6329999980253,337.47999999957983,2017.112999997605,320.0
36,aten::argsort,38796.66199999631,9705.65499999823,48502.31699999454,1280.0
37,aten::where,14630.223999998034,1497.1240000018418,16127.347999999876,640.0
38,aten::lift_fresh,1124.9550000004124,0.0,1124.9550000004124,640.0
39,aten::index_put_,406742.3769999974,5248.651000002164,411991.0279999996,640.0
40,torchdynamo cache lookup,12612.113000001906,0.0,12612.113000001906,640.0
41,torch-compiled region,28827.60799999858,115743.87399999856,144571.48199999714,640.0
42,aten::split_with_sizes,973.9099999990808,0.0,973.9099999990808,320.0
43,aten::exp,2036.5249999989496,746.8520000011708,2783.3770000001205,320.0
45,aten::div,1774.357999999213,2366.9440000002764,4141.301999999489,320.0
46,aten::empty,254.1439999998665,0.0,254.1439999998665,320.0
47,aten::silu,1909.180999998364,10499.66999999935,12408.850999997714,320.0
48,aten::ones,2447.9270000009574,298.40899999954127,2746.336000000498,320.0
49,aten::sub,6259.774999997753,7242.879999998629,13502.654999996385,290.0
50,aten::le,3601.7070000003023,3337.7320000001573,6939.43900000046,290.0
0,NonGEMM,923522.502999995,415239.0909999982,1338761.5939999935,
0,Inference,1318951.4309999996,1051628.179999994,2370579.610999994,
