,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,9.0,aten::eq,2171.8170000002774,338.0169999996248,2509.833999999902,340.0
1,10.0,aten::any,154.79099999995702,39.10500000015063,193.89600000010765,20.0
2,11.0,aten::is_nonzero,159.53400000003327,7.678999999978231,167.2130000000115,10.0
3,22.0,aten::cos,1891.752999999696,399.7849999995138,2291.53799999921,320.0
4,23.0,aten::sin,1706.83099999999,398.9810000004353,2105.812000000425,320.0
5,24.0,aten::mul,7530.388999999235,4248.888999999472,11779.277999998709,1300.0
6,25.0,aten::neg,4344.268999999864,1319.5430000008214,5663.812000000686,810.0
7,26.0,aten::add,8230.668999999212,11855.876999997328,20086.54599999654,1450.0
8,28.0,aten::ge,9207.293999999478,1505.408000000098,10712.701999999575,640.0
9,29.0,aten::__or__,9638.95800000074,1179.6619999997297,10818.62000000047,640.0
10,31.0,aten::__and__,20299.740000000143,2802.8300000009017,23102.570000001044,1540.0
11,32.0,aten::lt,10800.698000000812,1475.1200000019187,12275.81800000273,1280.0
12,34.0,aten::sum,25392.6809999994,6739.758000001634,32132.439000001035,1600.0
13,35.0,aten::gt,1661.5890000003856,314.3750000002772,1975.9640000006627,320.0
14,43.0,aten::exp,1928.694000000192,422.051000000145,2350.7450000003364,320.0
15,45.0,aten::div,1766.3490000002184,881.5350000008216,2647.88400000104,320.0
16,49.0,aten::sub,6022.814999999694,907.746000000288,6930.5609999999815,290.0
17,50.0,aten::le,3486.7849999999544,614.4690000000192,4101.2539999999735,290.0
18,526.0,arithmetic,116395.65599999929,35450.83000000316,151846.48600000245,11810.0
