,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,225456.75800000003,216056.72800000015,441513.4860000002,10.0
2,aten::embedding,227.61900000002768,111.29800000002086,338.9170000000486,10.0
3,aten::arange,90.15899999999468,10.720999999976158,100.87999999997083,10.0
4,aten::unsqueeze,649.1549999998601,0.0,649.1549999998601,680.0
5,aten::eq,117.65800000002012,12.352000000054687,130.0100000000748,10.0
6,aten::all,96.33999999999868,24.735999999973277,121.07599999997194,10.0
7,aten::is_nonzero,189.50199999999188,9.952999999983945,199.45499999997585,10.0
8,aten::slice,1999.3100000000427,0.0,1999.3100000000427,1980.0
9,aten::to,232.55600000001124,51.807999999993456,284.3640000000047,70.0
10,aten::expand,423.86400000011065,0.0,423.86400000011065,330.0
11,aten::matmul,219.921999999994,13.181000000006804,233.1030000000008,10.0
12,aten::transpose,597.2150000002543,0.0,597.2150000002543,650.0
13,aten::cat,2079.72899999985,2108.7120000000896,4188.44099999994,330.0
14,aten::cos,54.91499999998638,17.537000000009925,72.4519999999963,10.0
15,aten::mul,3653.5720000000815,6001.8309999996745,9655.402999999757,820.0
16,aten::sin,49.29999999997278,16.767999999997244,66.06799999997003,10.0
17,llamarmsnorm_prof,21339.13799999989,11161.514000000405,32500.652000000293,330.0
18,aten::linear,16342.616999999718,177329.77400000012,193672.39099999983,1130.0
19,aten::view,195.67599999990276,0.0,195.67599999990276,480.0
20,aten::neg,1467.2049999997848,828.8889999999791,2296.093999999764,320.0
21,aten::add,2842.358999999771,3072.4349999999117,5914.7939999996825,640.0
22,aten::reshape,3060.642,1646.0789999999602,4706.72099999996,480.0
23,aten::contiguous,1974.16700000028,1538.0440000000958,3512.211000000376,320.0
24,aten::scaled_dot_product_attention,3821.738000000045,10315.46999999989,14137.207999999937,160.0
25,aten::silu,823.4900000000259,1785.6260000000373,2609.116000000063,160.0
26,cudadevicesynchronize,143259.746,0.0,143259.746,10.0
0,GEMM,20384.276999999758,187658.42500000002,208042.70199999976,
0,NonGEMM,42163.57099999985,28398.303000000164,70561.87400000003,
0,SSM_Scan,0.0,0.0,0.0,
