,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,20384.27699999976,187658.425,208042.70199999976,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,823.4900000000259,1785.6260000000373,2609.116000000063,160.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,21339.13799999989,11161.514000000405,32500.652000000293,330.0
5,arithmetic,8470.850999999608,9984.500999999584,18455.351999999195,1830.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,227.61900000002768,111.29800000002086,338.9170000000486,10.0
9,memory,11302.473000000306,5355.364000000115,16657.83700000042,5330.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
