,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,81963.65599999999,58790.68700000008,140754.34300000005,10.0
2,aten::embedding,258.452000000004,95.64800000000383,354.1000000000078,10.0
3,layernormfn,17606.68300000001,1717.0399999999202,19323.722999999933,250.0
4,aten::permute,441.8929999999901,0.0,441.8929999999901,480.0
5,aten::reshape,467.923000000068,0.0,467.923000000068,480.0
6,aten::matmul,2244.039999999959,15489.423000000104,17733.46300000006,240.0
7,aten::to,5518.917999999937,1756.661000000085,7275.579000000022,720.0
8,aten::exp,1299.241000000029,249.4760000000523,1548.7170000000815,240.0
9,aten::neg,1222.9769999999908,244.93100000001263,1467.9080000000035,240.0
10,mambainnerfn,31522.660999999945,28994.6419999999,60517.30299999984,240.0
11,aten::linear,153.2879999999832,10242.865999999996,10396.153999999977,10.0
12,cudadevicesynchronize,9715.935999999989,0.0,9715.935999999989,10.0
0,GEMM,2397.327999999942,25732.2890000001,28129.61700000004,
0,NonGEMM,26816.08700000003,4063.7560000000744,30879.843000000106,
0,SSM_Scan,31522.660999999945,28994.6419999999,60517.30299999984,
