,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,3145.583000000015,372050.8760000004,375196.4590000004,
1,SSM_Scan,32638.16099999993,484517.9719999979,517156.1329999978,
2,activation,0.0,0.0,0.0,0.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,18397.64700000058,75981.31799999984,94378.96500000042,250.0
5,arithmetic,2560.9129999995457,519.4539999997107,3080.366999999257,480.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,351.7360000000666,1118.6989999999914,1470.4350000000582,10.0
9,memory,6595.52399999698,1752.4340000003422,8347.957999997321,1680.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
