,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,147384.27699999994,121986.29499999958,269370.5719999995,10.0
2,aten::embedding,338.0080000000266,169.76000000003248,507.76800000005903,10.0
3,layernormfn,17316.527000000096,7083.56800000007,24400.09500000017,250.0
4,aten::linear,3547.4730000000363,54774.10999999995,58321.582999999984,250.0
5,aten::to,2650.8760000001275,353.53799999996426,3004.414000000092,240.0
6,aten::exp,1628.6800000000835,259.06700000009937,1887.747000000183,240.0
7,aten::neg,1294.9910000000732,238.3709999998402,1533.3619999999137,240.0
8,aten::reshape,194.54099999991683,0.0,194.54099999991683,240.0
9,mambasplitconv1dscancombinedfn,88281.31200000006,59107.880999999616,147389.19299999968,240.0
10,cudadevicesynchronize,19980.08500000004,0.0,19980.08500000004,10.0
0,GEMM,3547.4730000000363,54774.10999999995,58321.582999999984,
0,NonGEMM,23423.623000000327,8104.3040000000055,31527.92700000033,
0,SSM_Scan,88281.31200000006,59107.880999999616,147389.19299999968,
