,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,3703.31799999836,782094.6070000005,785797.9249999989,
1,SSM_Scan,91540.82600000092,1146612.9060000011,1238153.7320000022,
2,activation,0.0,0.0,0.0,0.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,17454.751000000313,156665.85499999914,174120.60599999945,250.0
5,arithmetic,2672.9070000022352,526.5309999994743,3199.4380000017095,480.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,282.571999999882,2177.8219999996363,2460.393999999518,10.0
9,memory,2870.6240000006546,393.8610000001236,3264.485000000778,480.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
