,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,36092.73100000019,214618.11800000048,250710.8490000007,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,1406.0839999998025,3181.955999999961,4588.039999999764,280.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,37075.09000000016,15903.225999999902,52978.31600000006,570.0
5,arithmetic,15781.120000000763,15015.56899999933,30796.689000000093,3150.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,211.74399999996305,90.24200000000376,301.9859999999668,10.0
9,memory,19735.843999998353,7561.608999999422,27297.45299999777,9164.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
