,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,139849.88799999998,106150.19500000002,246000.083,10.0
2,aten::embedding,166.87399999999508,65.18600000001683,232.0600000000119,10.0
3,aten::arange,86.97500000000576,10.87900000000002,97.85400000000578,10.0
4,aten::unsqueeze,887.1549999999588,0.0,887.1549999999588,1000.0
5,aten::eq,88.68599999998935,12.704000000008165,101.38999999999751,10.0
6,aten::all,80.24499999997437,22.881000000016456,103.12599999999082,10.0
7,aten::is_nonzero,138.1410000000091,10.047000000011051,148.18800000002014,10.0
8,aten::slice,2855.738000000133,0.0,2855.738000000133,2940.0
9,aten::to,229.1710000000133,52.92800000001699,282.0990000000303,70.0
10,aten::expand,537.3829999999865,0.0,537.3829999999865,490.0
11,aten::matmul,204.30900000000287,13.05600000001226,217.3650000000152,10.0
12,aten::transpose,870.7900000000143,0.0,870.7900000000143,970.0
13,aten::cat,2962.3269999999056,1912.3349999999464,4874.661999999852,490.0
14,aten::cos,65.70200000000426,17.599000000005105,83.30100000000937,10.0
15,aten::mul,5429.930999999907,4254.933999999801,9684.864999999709,1220.0
16,aten::sin,48.21800000001173,16.704000000008932,64.92200000002066,10.0
17,qwen2rmsnorm_prof,31882.4500000001,10257.027000000087,42139.47700000019,490.0
18,aten::linear,24391.384999999857,73587.11499999995,97978.4999999998,1690.0
19,aten::view,304.7950000000043,0.0,304.7950000000043,720.0
20,aten::neg,2198.4149999997453,951.6500000001352,3150.0649999998805,480.0
21,aten::add,4375.32000000004,2215.295000000083,6590.615000000123,960.0
22,aten::reshape,4473.768999999911,1588.2329999999404,6062.001999999851,720.0
23,aten::contiguous,3161.548999999826,1495.3060000000548,4656.85499999988,480.0
24,aten::scaled_dot_product_attention,5794.320000000156,7960.411999999966,13754.732000000122,240.0
25,aten::silu,1201.1600000002109,1705.9039999999627,2907.0640000001736,240.0
26,cudadevicesynchronize,17508.932,0.0,17508.932,10.0
0,GEMM,30390.014000000014,81560.58299999993,111950.59699999994,
0,NonGEMM,62044.79399999975,24589.612000000096,86634.40599999984,
0,SSM_Scan,0.0,0.0,0.0,
