,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,30390.014000000014,81560.58299999993,111950.59699999994,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,1201.1600000002109,1705.9039999999627,2907.0640000001736,240.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,31882.4500000001,10257.027000000087,42139.47700000019,490.0
5,arithmetic,12424.657999999681,7501.8140000000685,19926.471999999754,2710.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,166.87399999999508,65.18600000001683,232.0600000000119,10.0
9,memory,16369.65199999976,5059.680999999959,21429.332999999715,7890.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
