,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,318.9360000000128,114.27499999995814,433.21099999997097,10.0
3,aten::arange,113.42899999997977,11.040000000009172,124.46899999998894,10.0
4,aten::unsqueeze,778.9439999999461,0.0,778.9439999999461,920.0
5,aten::eq,115.55200000002743,12.672999999992555,128.22500000002,10.0
6,aten::all,113.54900000001628,25.247999999998285,138.79700000001458,10.0
7,aten::is_nonzero,164.93000000001183,22.14299999999241,187.07300000000424,10.0
8,aten::slice,2647.094000000792,0.0,2647.094000000792,2700.0
9,aten::to,230.03799999995695,53.21299999994784,283.2509999999048,70.0
10,aten::expand,500.89400000009846,0.0,500.89400000009846,450.0
12,aten::transpose,769.3270000000628,0.0,769.3270000000628,890.0
13,aten::cat,2825.805999999897,2792.298000000113,5618.10400000001,450.0
14,aten::cos,55.76800000002669,17.695000000005734,73.46300000003242,10.0
15,aten::mul,4973.67299999999,5125.003999999675,10098.676999999663,1120.0
16,aten::sin,47.700000000038415,17.056999999993536,64.75700000003195,10.0
17,llamarmsnorm_prof,31134.742000000115,15790.168000000194,46924.91000000031,450.0
19,aten::view,277.73699999968744,0.0,277.73699999968744,660.0
20,aten::neg,2042.653000000256,1131.246000000111,3173.899000000367,440.0
21,aten::add,3984.812000000082,4528.255999999903,8513.067999999985,880.0
22,aten::reshape,4138.96499999996,2289.325999999985,6428.290999999945,660.0
23,aten::contiguous,2775.1059999999407,2160.69000000004,4935.79599999998,440.0
25,aten::silu,1076.6020000000424,1623.3930000002251,2699.9950000002677,220.0
0,NonGEMM,59086.257000000944,35713.725000000144,94799.98200000108,
0,Inference,214972.027,203225.6570000003,418197.6840000003,
