,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,26023.813999999908,167503.67600000015,193527.49000000005,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,1076.6020000000424,1623.3930000002251,2699.995000000268,220.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,31134.742000000115,15790.168000000194,46924.91000000031,450.0
5,arithmetic,11498.63700000045,10879.32199999967,22377.95900000012,2490.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,318.9360000000128,114.27499999995814,433.21099999997097,10.0
9,memory,15057.34000000032,7306.5670000000955,22363.907000000414,7250.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
