,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,356.7050000000036,108.57700000006407,465.2820000000677,10.0
3,aten::clone,250.827999999983,66.59400000006988,317.4220000000529,20.0
4,aten::zeros,4121.844999999361,705.4780000003889,4827.322999999749,760.0
5,aten::empty,136.72399999931042,0.0,136.72399999931042,760.0
6,aten::to,4900.120999998988,537.9869999999705,5438.107999998958,1210.0
7,aten::lift_fresh,16.296999999288573,0.0,16.296999999288573,760.0
8,aten::detach_,247.7079999996936,0.0,247.7079999996936,760.0
9,aten::arange,175.75299999993172,16.480999999972937,192.23399999990465,20.0
10,aten::unsqueeze,199.58800000040355,0.0,199.58800000040355,200.0
11,aten::select,24.2089999999057,0.0,24.2089999999057,10.0
12,aten::add,4218.866999999838,13263.122999999596,17481.989999999434,810.0
13,aten::item,204.56299999998987,16.318999999931748,220.8819999999216,20.0
14,aten::full,63.48999999999728,15.232000000031803,78.72200000002908,10.0
15,aten::triu,75.29599999996117,61.92099999997936,137.21699999994053,10.0
16,aten::reshape,74.538999999927,0.0,74.538999999927,70.0
17,aten::gt,86.88600000002589,30.528000000012295,117.4140000000382,10.0
18,aten::mul_,64.57700000003479,47.13599999997382,111.7130000000086,10.0
19,aten::slice,1056.8939999998906,0.0,1056.8939999998906,900.0
20,aten::expand,26.19399999998518,0.0,26.19399999998518,20.0
21,aten::alias,22.1460000000086,0.0,22.1460000000086,20.0
22,aten::eq,6876.077000000752,1312.5219999997491,8188.599000000501,1170.0
23,aten::mul,1655.2019999998822,3956.878999999977,5612.080999999859,340.0
24,aten::masked_fill,164.74200000001542,60.03299999997489,224.7749999999903,10.0
25,aten::copy_,4191.615999998898,1217.4230000005844,5409.038999999482,770.0
26,aten::all,7326.615999999952,2311.6739999990477,9638.289999999,1150.0
27,aten::bitwise_not,74.50699999995732,9.536999999902946,84.04399999986026,10.0
29,aten::transpose,1371.674000000511,0.0,1371.674000000511,1390.0
30,aten::cat,842.0479999998788,1779.5470000000646,2621.5949999999434,130.0
31,aten::cos,64.65100000004577,13.054999999856818,77.70599999990259,10.0
32,aten::sin,62.896999999937634,13.346000000095728,76.24300000003336,10.0
33,zamba2rmsnorm_prof,39678.76499999961,17867.342000000142,57546.10699999975,510.0
34,aten::is_nonzero,173447.01400000002,670.0129999993676,174117.0269999994,760.0
36,aten::exp,1938.937000000116,373.93199999984176,2312.868999999958,380.0
37,aten::neg,2369.31900000046,880.2540000003742,3249.573000000834,500.0
38,aten::split_with_sizes,1850.5260000009328,0.0,1850.5260000009328,760.0
39,aten::pad,4771.802000000283,779.3499999999751,5551.152000000258,380.0
40,aten::squeeze,604.168000000077,0.0,604.168000000077,380.0
42,aten::view,1129.7230000003417,0.0,1129.7230000003417,1700.0
44,zamba2rmsnormgated_prof,42515.22899999942,37793.656999999934,80308.88599999936,380.0
45,aten::concatenate,511.8949999998176,1056.5890000000263,1568.483999999844,60.0
46,aten::contiguous,1260.6819999998852,1393.677999999829,2654.359999999714,180.0
48,aten::chunk,340.0130000000854,0.0,340.0130000000854,60.0
49,aten::gelu,383.4469999998682,1229.4890000001142,1612.9359999999824,60.0
0,NonGEMM,309754.77999999735,87587.69599999885,397342.4759999962,
0,Inference,554125.5160000001,380328.43399999785,934453.949999998,
