,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,10578401.9,10491062.967000028,21069464.86700003,10.0
2,aten::embedding,300.07300000203213,1460.527000000462,1760.6000000024942,10.0
3,aten::clone,235.37100000059408,12739.417000002726,12974.78800000332,20.0
4,aten::zeros,4211.508999996828,717.794999986822,4929.303999983649,760.0
5,aten::empty,140.1860000015572,0.0,140.1860000015572,760.0
6,aten::to,4973.939999986413,734.5429999811095,5708.482999967522,1210.0
7,aten::lift_fresh,17.455999988723306,0.0,17.455999988723306,760.0
8,aten::detach_,272.4810000216123,0.0,272.4810000216123,760.0
9,aten::arange,189.20100000034608,20.573000001303622,209.7740000016497,20.0
10,aten::unsqueeze,220.06499999241169,0.0,220.06499999241169,200.0
11,aten::select,25.66300000000569,0.0,25.66300000000569,10.0
12,aten::add,4087.5620000156273,322477.3669999846,326564.92900000024,810.0
13,aten::item,16902.143999998923,17.50499999994804,16919.64899999887,20.0
14,aten::full,66.7129999995102,5539.012999998318,5605.725999997829,10.0
15,aten::triu,83.30799999915234,11281.892999998036,11365.200999997189,10.0
16,aten::reshape,83.95999999225705,0.0,83.95999999225705,70.0
17,aten::gt,93.38000000088824,4614.806999998759,4708.186999999647,10.0
18,aten::mul_,67.88800000102265,14400.523000001956,14468.411000002978,10.0
19,aten::slice,1081.1540000015689,0.0,1081.1540000015689,899.0
20,aten::expand,26.96299999921212,0.0,26.96299999921212,20.0
21,aten::alias,24.46999999864056,0.0,24.46999999864056,20.0
22,aten::eq,6987.293999999163,19231.85500001472,26219.149000013887,1170.0
23,aten::mul,1672.1930000096909,142165.69700000476,143837.89000001445,340.0
24,aten::masked_fill,174.62299999747984,25993.109000002485,26167.731999999964,10.0
25,aten::copy_,4202.4180000144825,14026.328000008614,18228.746000023097,770.0
26,aten::all,7389.653999994502,7027.755000036723,14417.409000031224,1150.0
27,aten::bitwise_not,78.4620000010841,14.240000000279906,92.702000001364,10.0
28,aten::matmul,267.2030000012592,39.00799999936498,306.2110000006241,10.0
29,aten::transpose,1426.5140000029455,0.0,1426.5140000029455,1389.0
30,aten::cat,968.5929999929108,46589.70899999504,47558.301999987954,130.0
31,aten::cos,70.3350000000687,51.81100000103834,122.14600000110704,10.0
32,aten::sin,64.45700000190936,56.16099999891958,120.61800000082894,10.0
33,zamba2rmsnorm_prof,40615.9679999791,741740.4679999962,782356.4359999753,510.0
34,aten::is_nonzero,9974936.363000004,679.7739999825353,9975616.136999989,760.0
35,aten::linear,32801.16599998914,3321346.521000041,3354147.68700003,1670.0
36,aten::exp,1969.3499999909452,467.3030000057115,2436.652999996657,380.0
37,aten::neg,2568.291999998006,17643.499999978652,20211.79199997666,500.0
38,aten::split_with_sizes,2028.982999981923,0.0,2028.982999981923,759.0
39,aten::pad,4875.953000004791,680.4570000020722,5556.410000006863,380.0
40,aten::squeeze,639.2250000017466,0.0,639.2250000017466,380.0
41,causalconv1dfn,6005.566000002124,129617.27700000684,135622.84300000896,380.0
42,aten::view,1300.765999979798,0.0,1300.765999979798,1700.0
43,mambachunkscancombinedfn,139571.5350000059,553913.9629999966,693485.4980000025,380.0
44,zamba2rmsnormgated_prof,42717.34399999235,1710761.7259999989,1753479.0699999912,380.0
45,aten::concatenate,674.0549999987852,19642.985000002416,20317.0400000012,60.0
46,aten::contiguous,1349.0810000025958,52039.88700000098,53388.96800000357,180.0
47,aten::scaled_dot_product_attention,2616.6860000044544,3278052.825,3280669.5110000046,60.0
48,aten::chunk,411.6559999956808,0.0,411.6559999956808,60.0
49,aten::gelu,404.635999998427,35276.64500000031,35681.28099999874,60.0
50,cudadevicesynchronize,205904.42500000005,0.0,205904.42500000005,10.0
0,GEMM,35685.054999994856,6599438.354000041,6635123.409000035,
0,NonGEMM,10130629.70199994,3208093.372999985,13338723.074999928,
0,SSM_Scan,145577.10100000803,683531.2400000035,829108.3410000114,
