,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,43030.608000004046,2600106.126000002,2643136.7340000058,
1,SSM_Scan,141359.63099999938,266710.36100001447,408069.9920000138,
2,activation,383.9470000006477,17945.651999999245,18329.598999999893,60.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,85704.1740000055,1165150.735000017,1250854.9090000226,890.0
5,arithmetic,4005364.75099998,250346.3359999999,4255711.08699998,5160.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,335.4849999999232,724.5849999999213,1060.0699999998444,10.0
9,memory,34808.4350000133,73261.15000000011,108069.58500001341,10597.0
10,roi,0.0,0.0,0.0,0.0
11,other,111.03699999697767,2939.207000000111,3050.2439999970884,770.0
