,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,4844.887000000211,3101.099999999793,7945.987000000004,20.0
3,aten::arange,3185.7740000001304,68.12999999951398,3253.9039999996444,20.0
4,aten::unsqueeze,833.7170000005656,0.0,833.7170000005656,50.0
5,aten::full,1535.8469999998115,192.48600000001443,1728.332999999826,10.0
6,aten::triu,1149.6610000001035,803.9560000000638,1953.6170000001675,10.0
7,aten::reshape,186.14699999969437,0.0,186.14699999969437,10.0
8,aten::gt,1236.185999999968,737.7440000001279,1973.930000000096,10.0
9,aten::mul_,952.0230000000302,1444.643999999751,2396.666999999781,10.0
10,aten::slice,18463.855999998712,0.0,18463.855999998712,970.0
11,aten::expand,189.9549999999772,0.0,189.9549999999772,10.0
12,aten::clone,1635.3330000002416,544.8110000002134,2180.144000000455,10.0
13,aten::to,291644.75800000044,117668.39800000022,409313.1560000007,490.0
14,aten::add,45948.88000000019,229368.25799999968,275317.13799999986,380.0
15,aten::eq,1295.7109999999657,359.4329999998545,1655.1439999998202,10.0
16,aten::masked_fill,2994.9850000002634,1123.837999999737,4118.823,10.0
17,aten::copy_,872.0219999999254,552.9400000001942,1424.9620000001196,10.0
18,aten::dropout,972.1259999986778,0.0,972.1259999986778,370.0
19,aten::layer_norm,64702.141999998734,20224.656999997555,84926.79899999629,250.0
21,aten::view,5543.100000002001,0.0,5543.100000002001,490.0
22,aten::permute,10758.881999999468,0.0,10758.881999999468,480.0
23,aten::transpose,2980.99799999946,0.0,2980.99799999946,120.0
25,aten::empty,1395.302999999245,0.0,1395.302999999245,120.0
26,aten::lift_fresh,146.37000000095577,0.0,146.37000000095577,120.0
27,aten::detach_,1200.5499999998392,0.0,1200.5499999998392,120.0
28,aten::where,23704.99199999979,196749.2940000001,220454.2859999999,120.0
29,aten::softmax,14962.35499999863,128309.71800000108,143272.0729999997,120.0
30,aten::contiguous,21300.58799999969,9068.314999999064,30368.90299999876,120.0
31,newgeluactivation_prof,162962.6179999989,146331.68400000143,309294.3020000004,120.0
0,NonGEMM,687599.7659999956,856649.4059999983,1544249.171999994,
0,Inference,1508684.8859999997,1415752.492999999,2924437.378999999,
