,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,285516.52300000045,559103.0870000006,844619.6100000009,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,162962.6179999989,146331.68400000143,309294.3020000004,120.0
3,logit_computation,14962.35499999863,128309.71800000108,143272.0729999997,120.0
4,nomralization,64702.141999998734,20224.656999997555,84926.79899999629,250.0
5,arithmetic,49432.80000000015,231910.07899999942,281342.87899999955,410.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,4844.887000000211,3101.099999999793,7945.987000000004,20.0
9,memory,388426.8069999993,325968.21199999907,714395.0189999983,3160.0
10,roi,0.0,0.0,0.0,0.0
11,other,2268.1569999997373,803.9560000000638,3072.112999999801,500.0
