,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,9.0,aten::eq,29358.70900000744,1490.4280000036945,30849.13700001113,340.0
1,10.0,aten::any,1872.8959999976432,101.34599999933744,1974.241999996981,20.0
2,11.0,aten::is_nonzero,1686.681999999371,25.473000000343745,1712.154999999715,10.0
3,22.0,aten::cos,22442.875000002143,2511.7579999882328,24954.632999990376,320.0
4,23.0,aten::sin,21674.41700000398,2467.784000001826,24142.201000005807,320.0
5,24.0,aten::mul,92218.85599997734,248950.9390000368,341169.7950000141,1300.0
6,25.0,aten::neg,55526.188000005655,33474.3380000114,89000.52600001705,810.0
7,26.0,aten::add,98386.16000000534,375494.5590000135,473880.7190000188,1450.0
8,28.0,aten::ge,93423.13600002124,54172.02200000836,147595.1580000296,640.0
9,29.0,aten::__or__,107729.68599999814,49459.09299998212,157188.77899998025,640.0
10,31.0,aten::__and__,222725.2309999792,100606.80499998534,323332.03599996446,1540.0
11,32.0,aten::lt,130318.3449999832,4296.545999968846,134614.89099995204,1280.0
12,35.0,aten::sum,339145.1799999748,134551.16400000267,473696.3439999775,1600.0
13,36.0,aten::gt,24169.10600000057,1282.709000006791,25451.81500000737,320.0
14,43.0,aten::exp,23997.55199999109,2740.066000003448,26737.61799999453,320.0
15,45.0,aten::div,23693.86699999666,49825.46099998617,73519.32799998284,320.0
16,49.0,aten::sub,60667.192000005176,46380.77499999832,107047.9670000035,290.0
17,50.0,aten::le,37333.27499999083,39810.56999998413,77143.84499997496,290.0
18,528.0,arithmetic,1386369.3529999398,1147641.8359999815,2534011.188999921,11810.0
