,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,2.0,aten::arange,290618.3350000085,6549.694999970775,297168.0299999793,2580.0
1,3.0,aten::unsqueeze,68039.68299996475,0.0,68039.68299996475,3889.0
2,4.0,aten::view,10154.384999985288,0.0,10154.384999985288,1310.0
3,6.0,aten::expand,33380.323999991626,0.0,33380.323999991626,1290.0
4,7.0,aten::reshape,88719.46600003188,134688.98699997965,223408.4530000116,1000.0
5,8.0,aten::cat,98796.87799999648,224010.9859999936,322807.86399999005,1140.0
6,12.0,aten::item,612.2650000006543,8.00000000124055,620.2650000018948,10.0
7,15.0,aten::transpose,52154.55399998542,0.0,52154.55399998542,4520.0
8,16.0,aten::tensor_split,24164.608999993623,0.0,24164.608999993623,640.0
9,18.0,aten::contiguous,144402.09699999896,168962.6270000009,313364.7239999999,1280.0
10,19.0,aten::slice,115152.50100001,0.0,115152.50100001,6477.0
11,20.0,aten::to,569904.7920000255,62584.55899998496,632489.3510000105,7370.0
12,27.0,aten::new_zeros,153398.81599999784,1888.311999990081,155287.12799998792,960.0
13,30.0,aten::new_ones,159200.18000001286,2862.4539999960616,162062.63400000893,1250.0
14,33.0,aten::pad,70987.97600000216,42122.53300000828,113110.50900001044,320.0
15,34.0,aten::permute,5690.943000005074,0.0,5690.943000005074,320.0
16,38.0,aten::where,175659.000000003,3680.078999989062,179339.07899999205,640.0
17,39.0,aten::index_put_,680578.2470000065,14619.9970000198,695198.2440000263,640.0
18,42.0,aten::split_with_sizes,8418.757999991183,0.0,8418.757999991183,319.0
19,46.0,aten::empty,1923.0590000093216,0.0,1923.0590000093216,320.0
20,48.0,aten::ones,29171.65400000148,1391.9869999924413,30563.64099999392,320.0
21,467.0,memory,2781128.522000022,663370.2159999269,3444498.7379999487,36595.0
