,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::arange,290618.3350000085,6549.694999970775,297168.0299999793,2580.0
3,aten::unsqueeze,68039.68299996475,0.0,68039.68299996475,3889.0
4,aten::view,10154.384999985288,0.0,10154.384999985288,1310.0
5,aten::embedding,1660.4130000011935,2793.323999999013,4453.737000000207,10.0
6,aten::expand,33380.323999991626,0.0,33380.323999991626,1290.0
7,aten::reshape,88719.46600003188,134688.98699997965,223408.45300001156,1000.0
8,aten::cat,98796.87799999648,224010.9859999936,322807.86399999005,1140.0
9,aten::eq,29358.70900000744,1490.4280000036945,30849.13700001113,340.0
10,aten::any,1872.8959999976432,101.34599999933744,1974.241999996981,20.0
11,aten::is_nonzero,1686.681999999371,25.473000000343745,1712.154999999715,10.0
12,aten::item,612.2650000006543,8.00000000124055,620.2650000018948,10.0
13,hymbarmsnorm_prof,1918978.668999948,1890659.6220000088,3809638.290999957,2250.0
15,aten::transpose,52154.55399998542,0.0,52154.55399998542,4520.0
16,aten::tensor_split,24164.608999993623,0.0,24164.608999993623,640.0
18,aten::contiguous,144402.09699999896,168962.6270000009,313364.7239999999,1280.0
19,aten::slice,115152.50100001,0.0,115152.50100001,6477.0
20,aten::to,569904.7920000255,62584.55899998496,632489.3510000105,7370.0
22,aten::cos,22442.875000002143,2511.7579999882328,24954.632999990376,320.0
23,aten::sin,21674.41700000398,2467.784000001826,24142.201000005807,320.0
24,aten::mul,92218.85599997734,248950.9390000368,341169.7950000141,1300.0
25,aten::neg,55526.188000005655,33474.3380000114,89000.52600001705,810.0
26,aten::add,98386.16000000534,375494.5590000135,473880.7190000188,1450.0
27,aten::new_zeros,153398.81599999784,1888.311999990081,155287.12799998792,960.0
28,aten::ge,93423.13600002124,54172.02200000836,147595.1580000296,640.0
29,aten::__or__,107729.68599999814,49459.09299998212,157188.77899998025,640.0
30,aten::new_ones,159200.18000001286,2862.4539999960616,162062.63400000893,1250.0
31,aten::__and__,222725.23099997916,100606.80499998534,323332.03599996446,1540.0
32,aten::lt,130318.3449999832,4296.545999968846,134614.89099995204,1280.0
33,aten::pad,70987.97600000216,42122.53300000828,113110.50900001044,320.0
34,aten::permute,5690.943000005074,0.0,5690.943000005074,320.0
35,aten::sum,339145.1799999748,134551.16400000267,473696.3439999775,1600.0
36,aten::gt,24169.10600000057,1282.709000006791,25451.81500000737,320.0
37,aten::argsort,968299.4599999932,26774.822999995293,995074.2829999884,1280.0
38,aten::where,175659.000000003,3680.078999989062,179339.07899999205,640.0
39,aten::index_put_,680578.2470000065,14619.9970000198,695198.2440000263,640.0
40,torchdynamo cache lookup,74627.01499998884,0.0,74627.01499998884,640.0
41,torch-compiled region: 0/0,17519.910999997264,59120.8439999964,76640.75499999366,60.0
42,aten::split_with_sizes,8418.757999991183,0.0,8418.757999991183,319.0
43,aten::exp,23997.55199999109,2740.066000003448,26737.617999994534,320.0
45,aten::div,23693.86699999666,49825.46099998617,73519.32799998284,320.0
46,aten::empty,1923.0590000093216,0.0,1923.0590000093216,320.0
47,aten::silu,23513.28899999814,101244.7490000041,124758.03800000224,320.0
48,aten::ones,29171.65400000148,1391.9869999924413,30563.64099999392,320.0
49,aten::sub,60667.192000005176,46380.77499999832,107047.9670000035,290.0
50,aten::le,37333.27499999083,39810.56999998413,77143.84499997496,290.0
51,torch-compiled region: 0/1,157945.16900000494,534085.3369999909,692030.5059999959,580.0
52,buffer flush,854.5089999994816,421.2860000011424,1275.795000000624,5.0
0,NonGEMM,7330896.309999893,4426112.036999904,11757008.346999796,
0,Inference,11690304.216,11417634.423999907,23107938.639999907,
