,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,456539.2989999964,4392314.044000022,4848853.343000018,
1,SSM_Scan,372954.8610000124,2599204.4709999817,2972159.3319999943,
2,activation,23513.28899999814,101244.7490000041,124758.03800000224,320.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,1918978.668999948,1890659.6220000088,3809638.290999957,2250.0
5,arithmetic,1386369.3529999398,1147641.8359999815,2534011.188999921,11810.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,1660.4130000011935,2793.323999999013,4453.737000000207,10.0
9,memory,2781128.522000022,663370.2159999269,3444498.7379999487,36595.0
10,roi,0.0,0.0,0.0,0.0
11,other,1042926.474999982,26774.822999995293,1069701.2979999771,1920.0
