,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::arange,1512.0380000002024,35.26399999964178,1547.3019999998442,10.0
1,4.0,aten::unsqueeze,8318.738000000612,0.0,8318.738000000612,680.0
2,8.0,aten::slice,31534.85500000081,0.0,31534.85500000081,1980.0
3,9.0,aten::to,4082.880000000001,155.97199999969598,4238.851999999697,70.0
4,10.0,aten::expand,5745.1900000001215,0.0,5745.1900000001215,330.0
5,12.0,aten::transpose,10060.261000002589,0.0,10060.261000002589,650.0
6,13.0,aten::cat,33917.88000000184,63954.322999996,97872.20299999784,330.0
7,19.0,aten::view,4067.458000007495,0.0,4067.458000007495,480.0
8,22.0,aten::reshape,51306.50799999706,51639.75700000382,102946.26500000089,480.0
9,23.0,aten::contiguous,37019.30199999604,63297.85500000106,100317.1569999971,320.0
10,123.0,memory,187565.11000000677,179083.1710000002,366648.281000007,5330.0
