,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,296900.7700000036,3153953.226,3450853.996000003,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,13650.253000003264,60151.60499999961,73801.85800000287,160.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,369559.4639999992,366915.3839999897,736474.8479999889,330.0
5,arithmetic,160656.94100001195,271664.71199999895,432321.6530000109,1830.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,3631.833000000265,3761.6910000001726,7393.524000000438,10.0
9,memory,187565.11000000677,179083.1710000002,366648.281000007,5330.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
