,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,852505.013,634076.7939999988,1486581.8069999989,10.0
2,aten::embedding,1912.665000000076,1754.4499999999998,3667.115000000076,10.0
3,layernormfn,149369.97200000018,29932.358000000862,179302.33000000106,250.0
4,aten::permute,5748.390000000246,0.0,5748.390000000246,480.0
5,aten::reshape,6018.759000001379,0.0,6018.759000001379,480.0
6,aten::matmul,22463.12399999933,132639.80499999982,155102.92899999916,240.0
7,aten::to,63837.97099999872,10090.354999999689,73928.32599999841,720.0
8,aten::exp,14521.8659999997,1373.2209999995075,15895.086999999206,240.0
9,aten::neg,13731.267999999243,1099.4709999999627,14830.738999999206,240.0
10,mambainnerfn,381462.0460000005,367366.4899999989,748828.5359999994,240.0
11,aten::linear,1621.644000000044,89820.64400000003,91442.28800000007,10.0
12,cudadevicesynchronize,89703.80599999997,0.0,89703.80599999997,10.0
0,GEMM,24084.767999999374,222460.44899999985,246545.21699999925,
0,NonGEMM,255140.89099999954,44249.855000000025,299390.7459999996,
0,SSM_Scan,381462.0460000005,367366.4899999989,748828.5359999994,
