,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,24427.781000000243,88434.42400000017,112862.2050000004,
1,SSM_Scan,364906.5779999998,182171.87300000043,547078.4510000002,
2,activation,0.0,0.0,0.0,0.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,150519.203000001,11245.485999999748,161764.68900000074,250.0
5,arithmetic,27591.620999999745,3404.6749999993363,30996.295999999085,480.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,2254.936999999972,732.8059999998904,2987.742999999862,10.0
9,memory,74289.66800000066,13694.26299999931,87983.93099999997,1680.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
