,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,36388.27199999925,320906.6700000005,357294.94199999975,
1,SSM_Scan,735792.6150000005,418617.4079999951,1154410.0229999956,
2,activation,0.0,0.0,0.0,0.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,139911.20900000056,40118.12899999967,180029.33800000022,250.0
5,arithmetic,28262.110999999437,2375.709999998304,30637.82099999774,480.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,1577.2810000000918,2556.1509999998125,4133.431999999904,10.0
9,memory,25389.489000000336,2131.085000000499,27520.574000000837,479.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
