,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,1084282.307,322407.65,1406689.957,10.0
2,aten::embedding,2333.7780000002185,926.2919999999816,3260.0700000002003,10.0
3,layernormfn,138463.84400000123,14052.161999999662,152516.0060000009,250.0
4,aten::linear,35978.35199999953,124414.55200000042,160392.90399999995,250.0
5,aten::to,22970.805999999444,2858.555999999031,25829.361999998477,240.0
6,aten::exp,14299.755000000749,1873.999000000123,16173.75400000087,240.0
7,aten::neg,13531.418000000336,1308.7980000011894,14840.216000001525,240.0
8,aten::reshape,2648.314000000041,0.0,2648.314000000041,240.0
9,mambasplitconv1dscancombinedfn,731792.4600000002,176973.29099999962,908765.7509999998,240.0
10,cudadevicesynchronize,41073.10999999977,0.0,41073.10999999977,10.0
0,GEMM,35978.35199999953,124414.55200000042,160392.90399999995,
0,NonGEMM,194247.91500000202,21019.806999999986,215267.72200000202,
0,SSM_Scan,731792.4600000002,176973.29099999962,908765.7509999998,
