,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::arange,1384.259000000596,32.767999999724225,1417.0270000003202,10.0
1,4.0,aten::unsqueeze,11405.97899999583,0.0,11405.97899999583,1159.0
2,8.0,aten::slice,46049.35599999915,0.0,46049.35599999915,3416.0
3,9.0,aten::to,3487.4130000023392,238.50100000108887,3725.914000003428,70.0
4,10.0,aten::expand,7918.829000002994,0.0,7918.829000002994,569.0
5,12.0,aten::transpose,14113.507000006466,0.0,14113.507000006466,1130.0
6,13.0,aten::cat,50165.9280000017,80713.43299999261,130879.36099999431,570.0
7,19.0,aten::view,6174.713999996481,0.0,6174.713999996481,840.0
8,22.0,aten::reshape,75446.16500000251,66282.11600001022,141728.28100001274,840.0
9,23.0,aten::contiguous,55688.63299999398,82869.17900000923,138557.8120000032,560.0
10,123.0,memory,271834.78300000203,230135.99700001287,501970.7800000149,9164.0
