,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,2314.040999999841,2684.6419999995705,4998.682999999412,10.0
3,aten::arange,1384.259000000596,32.767999999724225,1417.0270000003202,10.0
4,aten::unsqueeze,11405.97899999583,0.0,11405.97899999583,1159.0
5,aten::eq,1184.0590000000448,38.81599999873061,1222.8749999987754,10.0
6,aten::all,1180.6049999996003,54.36799999984623,1234.9729999994468,10.0
7,aten::is_nonzero,1130.1410000000017,14.944000001404447,1145.085000001406,10.0
8,aten::slice,46049.35599999915,0.0,46049.35599999915,3416.0
9,aten::to,3487.4130000023392,238.50100000108887,3725.914000003428,70.0
10,aten::expand,7918.829000002994,0.0,7918.829000002994,569.0
12,aten::transpose,14113.507000006466,0.0,14113.507000006466,1130.0
13,aten::cat,50165.9280000017,80713.43299999261,130879.36099999431,570.0
14,aten::cos,824.0190000003149,111.6209999993648,935.6399999996796,10.0
15,aten::mul,145421.70300000606,286014.8530000018,431436.5560000079,1420.0
16,aten::sin,824.7249999995015,94.40200000007052,919.126999999572,10.0
17,qwen2rmsnorm_prof,604572.1319999963,478508.5410000072,1083080.6730000034,570.0
19,aten::view,6174.713999996481,0.0,6174.713999996481,840.0
20,aten::neg,42642.78700000585,25819.772000003974,68462.55900000982,560.0
21,aten::add,97955.03600000378,110371.41499997544,208326.4509999792,1120.0
22,aten::reshape,75446.16500000251,66282.11600001022,141728.28100001274,840.0
23,aten::contiguous,55688.63299999398,82869.17900000923,138557.8120000032,560.0
25,aten::silu,40241.033000001866,125523.24900000489,165764.28200000673,280.0
0,NonGEMM,1210125.0640000154,1259372.6200000052,2469497.68400002,
0,Inference,5293112.213,5651217.606000004,10944329.819000006,
