,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,626364.6189999925,4385825.031,5012189.649999993,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,40241.033000001866,125523.24900000489,165764.28200000673,280.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,604572.1319999963,478508.5410000072,1083080.6730000034,570.0
5,arithmetic,291163.07500001515,422520.19099998067,713683.2659999958,3150.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,2314.040999999841,2684.6419999995705,4998.682999999412,10.0
9,memory,271834.78300000203,230135.99700001287,501970.7800000149,9164.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
