,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::arange,1106.588999999945,38.17699999983029,1144.7659999997752,10.0
1,4.0,aten::unsqueeze,9574.605000006828,0.0,9574.605000006828,1000.0
2,8.0,aten::slice,36314.055000001936,0.0,36314.055000001936,2940.0
3,9.0,aten::to,2579.422999998755,163.1039999997461,2742.526999998501,70.0
4,10.0,aten::expand,6189.340000001799,0.0,6189.340000001799,490.0
5,12.0,aten::transpose,10575.314999999016,0.0,10575.314999999016,970.0
6,13.0,aten::cat,41030.469000000216,39599.89399999978,80630.363,490.0
7,19.0,aten::view,4659.05799999795,0.0,4659.05799999795,720.0
8,22.0,aten::reshape,58929.40400000128,33580.58799999763,92509.9919999989,720.0
9,23.0,aten::contiguous,39886.31700000141,42254.5009999991,82140.81800000051,480.0
10,123.0,memory,210844.57500000915,115636.26399999608,326480.8390000052,7890.0
