,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,2079520.278,2001420.8279999944,4080941.105999994,10.0
2,aten::embedding,1868.6530000001092,1623.6239999998602,3492.2769999999696,10.0
3,aten::arange,1106.588999999945,38.17699999983029,1144.7659999997752,10.0
4,aten::unsqueeze,9574.605000006828,0.0,9574.605000006828,1000.0
5,aten::eq,966.9369999996892,29.08899999979235,996.0259999994814,10.0
6,aten::all,973.8780000000586,58.11300000027131,1031.99100000033,10.0
7,aten::is_nonzero,1019.481999999792,13.856000000379254,1033.3380000001712,10.0
8,aten::slice,36314.055000001936,0.0,36314.055000001936,2940.0
9,aten::to,2579.422999998755,163.1039999997461,2742.526999998501,70.0
10,aten::expand,6189.340000001799,0.0,6189.340000001799,490.0
11,aten::matmul,1730.0270000003188,51.3279999998872,1781.355000000206,10.0
12,aten::transpose,10575.314999999016,0.0,10575.314999999016,970.0
13,aten::cat,41030.469000000216,39599.89399999978,80630.363,490.0
14,aten::cos,687.1499999997145,74.24299999985305,761.3929999995676,10.0
15,aten::mul,88860.88299999954,124715.85499999624,213576.73799999576,1220.0
16,aten::sin,624.2739999998748,60.54399999980024,684.8179999996751,10.0
17,qwen2rmsnorm_prof,471343.80099999823,255498.4750000041,726842.2760000024,490.0
18,aten::linear,263131.0140000048,1311363.307999997,1574494.3220000018,1690.0
19,aten::view,4659.05799999795,0.0,4659.05799999795,720.0
20,aten::neg,34286.69800000047,13036.528000000448,47323.22600000092,480.0
21,aten::add,68675.6920000021,53708.06499999935,122383.75700000144,960.0
22,aten::reshape,58929.40400000128,33580.58799999763,92509.9919999989,720.0
23,aten::contiguous,39886.31700000141,42254.5009999991,82140.81800000051,480.0
24,aten::scaled_dot_product_attention,56417.98700000193,63471.89000000245,119889.87700000436,240.0
25,aten::silu,14911.428999998609,61993.723999998605,76905.15299999721,240.0
26,cudadevicesynchronize,533180.1710000003,0.0,533180.1710000003,10.0
0,GEMM,321279.02800000703,1374886.5259999994,1696165.5540000063,
0,NonGEMM,895063.4520000073,626448.3799999949,1521511.832000002,
0,SSM_Scan,0.0,0.0,0.0,
