,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,321279.02800000703,1374886.5259999994,1696165.5540000063,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,14911.428999998609,61993.723999998605,76905.15299999721,240.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,471343.80099999823,255498.4750000041,726842.2760000024,490.0
5,arithmetic,196094.99400000126,191696.29299999613,387791.28699999733,2710.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,1868.6530000001087,1623.6239999998602,3492.2769999999696,10.0
9,memory,210844.57500000915,115636.26399999608,326480.8390000052,7890.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
