,Unnamed: 0,name,cpu_time (us),cuda_time (us),total_time (us),count
0,3.0,aten::arange,1450.56400000059,37.79400000057035,1488.3580000011602,10.0
1,4.0,aten::unsqueeze,10435.480999998324,0.0,10435.480999998324,920.0
2,8.0,aten::slice,39912.06499997983,0.0,39912.06499997983,2700.0
3,9.0,aten::to,3557.0759999995244,152.13299999932542,3709.20899999885,70.0
4,10.0,aten::expand,6729.537999999522,0.0,6729.537999999522,450.0
5,12.0,aten::transpose,12533.100000000028,0.0,12533.100000000028,889.0
6,13.0,aten::cat,43989.21900000208,80883.88200000324,124873.10100000532,450.0
7,19.0,aten::view,5197.535999997931,0.0,5197.535999997931,660.0
8,22.0,aten::reshape,67812.72199999916,68058.96300000418,135871.68500000334,659.0
9,23.0,aten::contiguous,50818.43000000132,87075.82599999919,137894.25600000052,440.0
10,123.0,memory,242435.73099997832,236208.59800000652,478644.3289999848,7248.0
