,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,2571.583999999767,3758.8120000005274,6330.3960000002935,10.0
3,aten::arange,1450.56400000059,37.79400000057035,1488.3580000011602,10.0
4,aten::unsqueeze,10435.480999998324,0.0,10435.480999998324,920.0
5,aten::eq,1274.109999999428,43.00800000070922,1317.1180000001373,10.0
6,aten::all,1290.9439999996168,59.74699999948302,1350.6909999991,10.0
7,aten::is_nonzero,1215.9980000000655,13.409000000655624,1229.4070000007212,10.0
8,aten::slice,39912.06499997983,0.0,39912.06499997983,2700.0
9,aten::to,3557.0759999995244,152.13299999932542,3709.20899999885,70.0
10,aten::expand,6729.537999999522,0.0,6729.537999999522,450.0
12,aten::transpose,12533.100000000028,0.0,12533.100000000028,889.0
13,aten::cat,43989.21900000208,80883.88200000324,124873.10100000532,450.0
14,aten::cos,879.2860000005635,70.46799999920358,949.7539999997672,10.0
15,aten::mul,97792.24800000557,187983.0939999966,285775.34200000216,1120.0
16,aten::sin,814.227999999554,58.97900000015079,873.2069999997047,10.0
17,llamarmsnorm_prof,485597.99599999655,505357.554000015,990955.5500000116,450.0
19,aten::view,5197.535999997931,0.0,5197.535999997931,660.0
20,aten::neg,37995.5360000058,25738.90000000429,63734.43600001009,440.0
21,aten::add,74450.71100000024,110718.3609999971,185169.0719999973,880.0
22,aten::reshape,67812.72199999916,68058.96300000418,135871.68500000334,659.0
23,aten::contiguous,50818.43000000132,87075.82599999919,137894.25600000052,440.0
25,aten::silu,18528.965999999626,68256.98800000128,86785.9540000009,220.0
0,NonGEMM,964847.3379999851,1138267.9180000215,2103115.2560000066,
0,Inference,3890144.009000001,3831879.911000013,7722023.920000014,
