,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,371885.2570000024,2692846.2149999915,3064731.471999994,
1,SSM_Scan,0.0,0.0,0.0,
2,activation,18528.965999999626,68256.98800000128,86785.9540000009,220.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,485597.99599999655,505357.554000015,990955.5500000116,450.0
5,arithmetic,215713.06100001084,324685.9659999982,540399.027000009,2490.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,2571.583999999767,3758.812000000528,6330.3960000002935,10.0
9,memory,242435.73099997832,236208.59800000652,478644.3289999848,7248.0
10,roi,0.0,0.0,0.0,0.0
11,other,0.0,0.0,0.0,0.0
