,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,4025.278999999854,3773.265999999632,7798.544999999486,10.0
3,aten::clone,3552.747999995787,1665.8060000004125,5218.553999996199,20.0
4,aten::zeros,111745.66299999708,7670.18200000572,119415.8450000028,760.0
5,aten::empty,4279.350999972003,0.0,4279.350999972003,760.0
6,aten::to,119352.30699998174,2547.646999990109,121899.95399997184,1210.0
7,aten::lift_fresh,586.2999999818949,0.0,586.2999999818949,760.0
8,aten::detach_,5871.141999994934,0.0,5871.141999994934,760.0
9,aten::arange,3257.3729999989373,56.51600000031249,3313.88899999925,20.0
10,aten::unsqueeze,3169.8739999979152,0.0,3169.8739999979152,200.0
11,aten::select,261.54800000146497,0.0,261.54800000146497,10.0
12,aten::add,96171.597000004,216482.63599999135,312654.2329999954,810.0
13,aten::item,2079.459999999366,25.28100000177801,2104.741000001144,20.0
14,aten::full,1355.1989999995894,289.9639999989922,1645.1629999985817,10.0
15,aten::triu,1114.4229999999552,1017.9979999996976,2132.420999999653,10.0
16,aten::reshape,1594.5740000050027,0.0,1594.5740000050027,70.0
17,aten::gt,1249.8819999990228,730.3369999999704,1980.2189999989928,10.0
18,aten::mul_,928.4910000009876,1687.151000001657,2615.6420000026446,10.0
19,aten::slice,23752.43999999871,0.0,23752.43999999871,900.0
20,aten::expand,388.0520000014003,0.0,388.0520000014003,20.0
21,aten::alias,244.8469999991321,0.0,244.8469999991321,20.0
22,aten::eq,175811.11500001204,6506.585000001076,182317.7000000131,1170.0
23,aten::mul,44494.1220000032,142434.74000000532,186928.8620000085,340.0
24,aten::masked_fill,2699.5229999999865,1192.8569999988176,3892.379999998804,10.0
25,aten::copy_,83992.05700001928,15512.685000004683,99504.74200002397,770.0
26,aten::all,214983.951000014,7690.154000011196,222674.1050000252,1150.0
27,aten::bitwise_not,1064.499000001706,38.65899999966496,1103.158000001371,10.0
29,aten::transpose,33278.293000009646,0.0,33278.293000009646,1390.0
30,aten::cat,21281.025000004094,74952.04399999895,96233.06900000304,130.0
31,aten::cos,1021.870999998864,112.96700000043349,1134.8379999992976,10.0
32,aten::sin,972.366000000955,95.77699999825565,1068.1429999992106,10.0
33,zamba2rmsnorm_prof,867032.8209999965,614540.4870000137,1481573.3080000102,510.0
34,aten::is_nonzero,3446280.980999988,1070.8159999899651,3447351.796999977,760.0
36,aten::exp,39914.71999999051,1458.2200000110315,41372.940000001545,380.0
37,aten::neg,54573.24300000337,23200.35000000328,77773.59300000666,500.0
38,aten::split_with_sizes,45467.65699998391,0.0,45467.65699998391,760.0
39,aten::pad,117039.44800000513,3034.643999999229,120074.09200000436,380.0
40,aten::squeeze,9294.10999998138,0.0,9294.10999998138,380.0
42,aten::view,23987.52999999893,0.0,23987.52999999893,1700.0
44,zamba2rmsnormgated_prof,780328.0740000032,1315091.734000015,2095419.8080000184,380.0
45,aten::concatenate,9370.245000003257,25230.18300000162,34600.428000004875,60.0
46,aten::contiguous,34271.593999996345,69663.18500000803,103934.77900000438,180.0
48,aten::chunk,5537.067000002848,0.0,5537.067000002848,60.0
49,aten::gelu,8409.327999995672,53079.11000000031,61488.43799999598,60.0
0,NonGEMM,6406086.189999942,2590851.9810000504,8996938.17099999,
0,Inference,9768078.373,7713905.130000056,17481983.503000055,
