,name,cpu_time (us),cuda_time (us),total_time (us),count
0,GEMM,554655.455999997,4465843.101000007,5020498.557000004,
1,SSM_Scan,1652820.553999988,657210.0479999984,2310030.6019999865,
2,activation,8409.327999995672,53079.11000000031,61488.43799999598,60.0
3,logit_computation,0.0,0.0,0.0,0.0
4,nomralization,1647360.8949999996,1929632.2210000288,3576993.1160000283,890.0
5,arithmetic,4077466.8380000168,401508.3920000132,4478975.230000029,5160.0
6,pooling,0.0,0.0,0.0,0.0
7,interpolation,0.0,0.0,0.0,0.0
8,embedding,4025.278999999854,3773.265999999632,7798.544999999486,10.0
9,memory,667123.1269999479,201840.99400000868,868964.1209999565,10600.0
10,roi,0.0,0.0,0.0,0.0
11,other,1700.72299998185,1017.9979999996976,2718.7209999815477,770.0
